Date,Sale Order Number,Invoice number,Channel entry,Channel Ledger,Product Name,Product SKU Code,Qty,Unit Price,Currency,conversion rate,Total,Customer Name,Shipping Address Name,Shipping Address Line 1,Shipping Address Line 2,Shipping Address City,Shipping Address State,Shipping Address Country,Shipping Address Pincode,Shipping Address Phone,Shipping Provider,AWB num, Sales ,Sales Ledger,CGST,CGST Rate,SGST,SGST Rate,IGST,IGST Rate,UTGST,UTGST Rate,CESS,CESS Rate,Other charges,Other charges Ledger,Other charges1,Other charges Ledger1,Service tax,ST Ledger,Discount Ledger,Discount Amount,IMEI,Godown,Dispatch Date/Cancellation Date,Narration,Entity,Voucher Type Name ,TIN NO,Original Invoice Date ,Original Sale No,Channel Invoice Created,Channel State,Customer GSTIN,Channel_Party GSTIN,Billing Party Code,Tax Verification,GST Registration Type,TCS Amount,Adjustment In Selling Price,Adjustment In Discount,Other charges Ledger2,Other charges2,Store Credit,Prepaid Amount,Tax On Other Charges,Tax On Other Charges1,Tax On Other Charges2,IRN,Acknowledgement Number,HSN Code,Payment Method,Billing Address Line 1,Billing Address Line 2,ISBN,Bundle SKU Code Number
26/12/23,4VF4DCMV,INVOICE-6,10356.86,CocoBlu_Retail,Product 1,Product_Code_1,67,10,INR,1, 670 ,CocoBlu Retail Pvt Ltd,CocoBlu Retail Pvt Ltd,ESR Sohna Logistics Park,Tandoori Village Gurugram,GURGAON,Haryana,IN,122122,9999999999,,, 568 ,Interstate GST18.0%,0,CGST0.0%,0,SGST0.0%, 102 ,IGST18.0%,0,UTGST0.0%,0,Cess Rate0.0%,0,Shipping Charges,0,COD Charges,,,,0,,Home Location,,,NEW_INVOICE,Sales,,26/12/23,4VF4DCMV,,,06AAABC3054H1ZC,07BBFCV5501R1ZR,ABC-001,1,Regular,0,0,0,GIFT Wrap Charges,0,0,0,0,0,0,044ec33d5ad0bd7635566350d4434f6425d5e9c3a64b0b7129e0f11cf39df74a,1.72E+14,85129000,COD,ESR Sohna Logistics Park,Tandoori Village Gurugram,BlingBrands-23,
26/12/23,4VF4DCMV,INVOICE-6,13933.92,CocoBlu_Retail,Product 2,Product_Code_2,143,20,INR,1," 2,860 ",CocoBlu Retail Pvt Ltd,CocoBlu Retail Pvt Ltd,ESR Sohna Logistics Park,Tandoori Village Gurugram,GURGAON,Haryana,IN,122122,9999999999,,," 2,424 ",Interstate GST18.0%,0,CGST0.0%,0,SGST0.0%, 436 ,IGST18.0%,0,UTGST0.0%,0,Cess Rate0.0%,0,Shipping Charges,0,COD Charges,,,,0,,Home Location,,,NEW_INVOICE,Sales,,26/12/23,4VF4DCMV,,,06AAABC3054H1ZC,07BBFCV5501R1ZR,ABC-001,1,Regular,0,0,0,GIFT Wrap Charges,0,0,0,0,0,0,044ec33d5ad0bd7635566350d4434f6425d5e9c3a64b0b7129e0f11cf39df74a,1.72E+14,85129000,COD,ESR Sohna Logistics Park,Tandoori Village Gurugram,BlingBrands-23,
26/12/23,4VF4DCMV,INVOICE-6,308.48,CocoBlu_Retail,Product 3,Product_Code_3,1,30,INR,1, 30 ,CocoBlu Retail Pvt Ltd,CocoBlu Retail Pvt Ltd,ESR Sohna Logistics Park,Tandoori Village Gurugram,GURGAON,Haryana,IN,122122,9999999999,,, 25 ,Interstate GST18.0%,0,CGST0.0%,0,SGST0.0%, 5 ,IGST18.0%,0,UTGST0.0%,0,Cess Rate0.0%,0,Shipping Charges,0,COD Charges,,,,0,,Home Location,,,NEW_INVOICE,Sales,,26/12/23,4VF4DCMV,,,06AAABC3054H1ZC,07BBFCV5501R1ZR,ABC-001,1,Regular,0,0,0,GIFT Wrap Charges,0,0,0,0,0,0,044ec33d5ad0bd7635566350d4434f6425d5e9c3a64b0b7129e0f11cf39df74a,1.72E+14,85129000,COD,ESR Sohna Logistics Park,Tandoori Village Gurugram,BlingBrands-23,
26/12/23,6VQN7WBP,INVOICE-4,12776.4,CocoBlu_Retail,Product 4,Product_Code_4,104,40,INR,1," 4,160 ",CocoBlu Retail Pvt Ltd,CocoBlu Retail Pvt Ltd,ESR Sohna Logistics Park,Tandoori Village Gurugram,GURGAON,Haryana,IN,122122,9999999999,,," 3,525 ",Interstate GST18.0%,0,CGST0.0%,0,SGST0.0%, 635 ,IGST18.0%,0,UTGST0.0%,0,Cess Rate0.0%,0,Shipping Charges,0,COD Charges,,,,0,,Home Location,,,NEW_INVOICE,Sales,,26/12/23,6VQN7WBP,,,06AAABC3054H1ZC,07BBFCV5501R1ZR,ABC-001,1,Regular,0,0,0,GIFT Wrap Charges,0,0,0,0,0,0,4241ea48b28f6f216c5b3e824a31bab8d8cc8a6324406fdfabdb85e990c0ce64,1.72E+14,85129000,COD,ESR Sohna Logistics Park,Tandoori Village Gurugram,BlingBrands-23,
26/12/23,2CNOO2OT,INVOICE-2,380.8,CocoBlu_Retail,Product 5,Product_Code_5,2,50,INR,1, 100 ,CocoBlu Retail Pvt Ltd,CocoBlu Retail Pvt Ltd,ESR Sohna Logistics Park,Tandoori Village Gurugram,GURGAON,Haryana,IN,122122,9999999999,,, 85 ,Interstate GST18.0%,0,CGST0.0%,0,SGST0.0%, 15 ,IGST18.0%,0,UTGST0.0%,0,Cess Rate0.0%,0,Shipping Charges,0,COD Charges,,,,0,,Home Location,,,NEW_INVOICE,Sales,,26/12/23,2CNOO2OT,,,06AAABC3054H1ZC,07BBFCV5501R1ZR,ABC-001,1,Regular,0,0,0,GIFT Wrap Charges,0,0,0,0,0,0,811c6a51bf6f18ab0e8f40c868a0f008b0fd34c95cc92b1e9648044b6cfa1a77,1.72E+14,85129000,COD,ESR Sohna Logistics Park,Tandoori Village Gurugram,BlingBrands-23,
26/12/23,2CNOO2OT,INVOICE-2,2436,CocoBlu_Retail,Product 6,Product_Code_6,5,60,INR,1, 300 ,CocoBlu Retail Pvt Ltd,CocoBlu Retail Pvt Ltd,ESR Sohna Logistics Park,Tandoori Village Gurugram,GURGAON,Haryana,IN,122122,9999999999,,, 254 ,Interstate GST18.0%,0,CGST0.0%,0,SGST0.0%, 46 ,IGST18.0%,0,UTGST0.0%,0,Cess Rate0.0%,0,Shipping Charges,0,COD Charges,,,,0,,Home Location,,,NEW_INVOICE,Sales,,26/12/23,2CNOO2OT,,,06AAABC3054H1ZC,07BBFCV5501R1ZR,ABC-001,1,Regular,0,0,0,GIFT Wrap Charges,0,0,0,0,0,0,811c6a51bf6f18ab0e8f40c868a0f008b0fd34c95cc92b1e9648044b6cfa1a77,1.72E+14,85129000,COD,ESR Sohna Logistics Park,Tandoori Village Gurugram,BlingBrands-23,
26/12/23,2CNOO2OT,INVOICE-2,9506.56,CocoBlu_Retail,Product 7,Product_Code_7,8,70,INR,1, 560 ,CocoBlu Retail Pvt Ltd,CocoBlu Retail Pvt Ltd,ESR Sohna Logistics Park,Tandoori Village Gurugram,GURGAON,Haryana,IN,122122,9999999999,,, 475 ,Interstate GST18.0%,0,CGST0.0%,0,SGST0.0%, 85 ,IGST18.0%,0,UTGST0.0%,0,Cess Rate0.0%,0,Shipping Charges,0,COD Charges,,,,0,,Home Location,,,NEW_INVOICE,Sales,,26/12/23,2CNOO2OT,,,06AAABC3054H1ZC,07BBFCV5501R1ZR,ABC-001,1,Regular,0,0,0,GIFT Wrap Charges,0,0,0,0,0,0,811c6a51bf6f18ab0e8f40c868a0f008b0fd34c95cc92b1e9648044b6cfa1a77,1.72E+14,85129000,COD,ESR Sohna Logistics Park,Tandoori Village Gurugram,BlingBrands-23,
26/12/23,2CNOO2OT,INVOICE-2,1468.32,CocoBlu_Retail,Product 8,Product_Code_8,1,80,INR,1, 80 ,CocoBlu Retail Pvt Ltd,CocoBlu Retail Pvt Ltd,ESR Sohna Logistics Park,Tandoori Village Gurugram,GURGAON,Haryana,IN,122122,9999999999,,, 68 ,Interstate GST18.0%,0,CGST0.0%,0,SGST0.0%, 12 ,IGST18.0%,0,UTGST0.0%,0,Cess Rate0.0%,0,Shipping Charges,0,COD Charges,,,,0,,Home Location,,,NEW_INVOICE,Sales,,26/12/23,2CNOO2OT,,,06AAABC3054H1ZC,07BBFCV5501R1ZR,ABC-001,1,Regular,0,0,0,GIFT Wrap Charges,0,0,0,0,0,0,811c6a51bf6f18ab0e8f40c868a0f008b0fd34c95cc92b1e9648044b6cfa1a77,1.72E+14,85129000,COD,ESR Sohna Logistics Park,Tandoori Village Gurugram,BlingBrands-23,
26/12/23,2CNOO2OT,INVOICE-7,25692.8,CocoBlu_Retail,Product 9,Product_Code_9,148,90,INR,1," 13,320 ",CocoBlu Retail Pvt Ltd,CocoBlu Retail Pvt Ltd,ESR Sohna Logistics Park,Tandoori Village Gurugram,GURGAON,Haryana,IN,122122,9999999999,,," 11,288 ",Interstate GST18.0%,0,CGST0.0%,0,SGST0.0%," 2,032 ",IGST18.0%,0,UTGST0.0%,0,Cess Rate0.0%,0,Shipping Charges,0,COD Charges,,,,0,,Home Location,,,NEW_INVOICE,Sales,,26/12/23,2CNOO2OT,,,06AAABC3054H1ZC,07BBFCV5501R1ZR,ABC-001,1,Regular,0,0,0,GIFT Wrap Charges,0,0,0,0,0,0,6a22abb2018c6634d3e7af90ff951081f802d42f47a6ad0368a8edb76ec61e08,1.72E+14,85129000,COD,ESR Sohna Logistics Park,Tandoori Village Gurugram,BlingBrands-23,
26/12/23,2CNOO2OT,INVOICE-7,24402.4,CocoBlu_Retail,Product 10,Product_Code_10,20,100,INR,1," 2,000 ",CocoBlu Retail Pvt Ltd,CocoBlu Retail Pvt Ltd,ESR Sohna Logistics Park,Tandoori Village Gurugram,GURGAON,Haryana,IN,122122,9999999999,,," 1,695 ",Interstate GST18.0%,0,CGST0.0%,0,SGST0.0%, 305 ,IGST18.0%,0,UTGST0.0%,0,Cess Rate0.0%,0,Shipping Charges,0,COD Charges,,,,0,,Home Location,,,NEW_INVOICE,Sales,,26/12/23,2CNOO2OT,,,06AAABC3054H1ZC,07BBFCV5501R1ZR,ABC-001,1,Regular,0,0,0,GIFT Wrap Charges,0,0,0,0,0,0,6a22abb2018c6634d3e7af90ff951081f802d42f47a6ad0368a8edb76ec61e08,1.72E+14,85129000,COD,ESR Sohna Logistics Park,Tandoori Village Gurugram,BlingBrands-23,
