ASIN,SKU,GST Rate,HSN
B08L4XQ3W5,CACUSHION0018-2,18%,8512
B08L4YLLJP,CACUSHION0019-2,18%,8512
B08L4Y1KFN,CACUSHION0020-2,18%,8512
B08L4XNRHC,CACUSHION0021-2,18%,8512
B07R66SY4M,CASHADE0031,12%,87089900
B07R66VSL1,CASHADE0032,12%,87089900
B07R584KJ5,CASHADE0033,12%,87089900
B07R688PGX,CASHADE0034,12%,87089900
B07R68P1NP,CASHADE0036,12%,87089900
B07R78269F,CASHADE0037,12%,87089900
B07R49M5VB,CASHADE0038,12%,87089900
B07R673G9H,CASHADE0039,12%,87089900
B07R662M4Z,CASHADE0040,12%,87089900
B07R688BRX,CASHADE0042,12%,87089900
B07R49MN5H,CASHADE0043,12%,87089900
B07R68J8M1,CASHADE0045,12%,87089900
B07R66MTLN,CASHADE0047,12%,87089900
B07R7HVJHY,CASHADE0048,12%,87089900
B07R5G4RYT,CASHADE0049,12%,87089900
B07R5G5XDG,CASHADE0050,12%,87089900
B07R9RF5R9,CASHADE0051,12%,87089900
B07R6DZXXN,CASHADE0053,12%,87089900
B07R8LQFRF,CASHADE0054,12%,87089900
B07R8M77H1,CASHADE0055,12%,87089900
B087NWKCMD,MWHRUB500-2,18%,3808
B086VPRW5X,RLHRUB100,12%,3004
B087NTVY5G,RLHRUB500-2,18%,3401
B07FBLFPZT,VKAMCOMBO0001,28%,87149990
B07FBJPKH6,VKAMCOMBO0002,28%,87149990
B07FBLKHY3,VKAMCOMBO0003,28%,87149990
B07FBJK89Y,VKAMCOMBO0004,28%,87149990
B07FBHHDJ1,VKAMCOMBO0005,28%,87149990
B07FBLRJKB,VKAMCOMBO0007,28%,87149990
B07FBKFB9P,VKAMCOMBO0008,28%,87149990
B07FBJRX1P,VKAMCOMBO0009,28%,87149990
B07FBM5R6J,VKAMCOMBO0011,28%,87149990
B0983XZJGX,VKAMCOVER0074,12%,620112
B0983XKX3D,VKAMCOVER0075,12%,620112
B01M6ZGIQA,VKAMLIGHT0039,18%,87141090
B08L6WD2W7,VKAMLIGHT0052-2,18%,87141090
B08L6TP9PV,VKAMLIGHT0071-2,18%,87141090
B08L6VJM5V,VKAMLIGHT0076-2,18%,87141090
B08L3R6BST,VKAMLIGHT0130-2,18%,87141090
B08L4WNC6X,VKAMLIGHT0247-2,18%,85122020
B08L4VLXVV,VKAMLIGHT0250-2,18%,85122020
B01M3SK921,VKAMSTICKER0006,18%,39199010
B01M2ZVWJE,VKAMSTICKER0007,18%,39199010
B06VY8SLGJ,VKAMWHEELCAP0016,28%,87087000
B06Y5M8PYM,VKAMVCOVER0016,5%,62104090
B07DDLQDJT,CAMAT0146,28%,87089900
B07DDLQDJV,CAMAT0209,28%,87089900
B06Y42QHQT,VKAMBLADE0369,18%,87149990
B07CNM59CN,BAGRILL0024,18%,8512
B07DDLLJSJ,CAMAT0133,28%,87089900
B07FGF6V82,FBAVKAMCLUTCH0015,28%,8714
B07D2CM3QV,BABAG0011,28%,87141090
B07DPSF65M,FBABALIGHT0026,18%,85122020
B07D2DK8DH,VKAMEXHAUST0044,28%,87141090
B07D2CM3QW,VKAMHELMET0161,18%,65061090
B01MU07V7Z,VKAMMASK0045,5%,62149090
B06Y3R41KV,VKAMBLADE0770,18%,87149990
B07CNMVJDK,VKAMCLUTCH0006,28%,8714
B073FH952G,BASHOCKER0003,28%,87141090
B01N7HREIO,VKAMHELMET0032,18%,65061090
B07CMFTC38,VKAMHELMET0150,18%,65061090
B06XNYHFJ2,VKAMLEVER0010,28%,87141090
B07CNM59BW,VKAMHELMET0152,18%,65061090
B07DPRCCT4,FBAVKAMGLASS0017,28%,87141090
B07DDNBN27,CAMAT0043,28%,87089900
B07CNLH1JP,CAHOLDER0001,18%,8705
B07CNLH1K1,CACOVER0018,18%,4017
B07G5YZHD3,FBAVKAMBRASS0006,18%,74199930
B07G61S2X6,FBAVKAMGRILL123,28%,87141090
B07GFK7T9R,CASHADE0020,12%,87089900
B07CNLH1JY,VKAMROPE0006,12%,5609
B07195W9F3,VKAMANTENNA0020,18%,85291029
B06Y42QHQC,VKAMBLADE0242,18%,87149990
B07D2DNWJ1,VKAMHANDLE0012,28%,87141090
B01MU07UZ2,VKAMGLOVES0016_XXL,18%,42032920
B07GFH5K3S,VKAMLIGHT0213,18%,8512
B06XP96B7G,VKAMEXHAUST0031,28%,87141090
B01NBJXXXY,VKAMLIGHT0049,18%,87141090
B07DX81JH8,VKAMLEVER0025,28%,87141090
B07DDKFJQF,CAMAT0403,28%,87089900
B07DDKFJQD,CAMAT0212,28%,87089900
B07DX11GS2,BAGRILL0030,28%,87141090
B06XW5Y6HW,VKAMBRASS0019,18%,74199930
B06XP96B74,VKAMWHEELCAP0137,28%,87087000
B06Y3YTWZG,VKAMBLADE0302,18%,87149990
B07DDLKXPN,CAMAT0198,28%,87089900
B07N1DBV2G,AFWLIGHT0008,18%,85122010
B078PNVVTY,BASTICKER0007,18%,48219090
B078PPY6C1,CACOVER0014,18%,42029900
B07DDLBN7H,CAMAT0140,28%,87089900
B073FFW7WV,BALIGHT0004,18%,87141090
B07GFH7PX8,VKAMRADIO0003,18%,85182900
B091YZQVZ7,VKAMSLEEVES0002,5%,62171090
B07DDLBN7K,CAMAT0349,28%,87089900
B01MRP09WE,VKAMHELMET0027,18%,65061090
B07DP2RPB8,FBACACOVER0003,18%,42029900
B06Y42QMLT,VKAMBLADE0081,18%,87149990
B06X971XP1,VKAMLEVER0005,28%,87141090
B06Y438JDW,VKAMBLADE0250,18%,87149990
